rank,city,country,teu,lat,lon,percent
1,Shanghai,China,37133,31.2253441,121.4888922,1.6
2,Singapore,Singapore,30903,1.2904753,103.8520359,-0.1
3,Shenzhen,China,23979,22.5442673,114.0545327,-0.9
4,Ningbo,China,21560,29.8720259,121.549887,4.6
5,Busan,South Korea,19850,35.1799528,129.0752365,2
6,Hong Kong,China,19813,22.2793278,114.1628131,-1.3
7,Guangzhou,China,18857,23.1387267,113.319321,7
8,Qingdao,China,18010,36.0895093,120.3497193,2.9
9,Dubai,United Arab Emirates,14772,25.2683521,55.2961962,-5.3
10,Tianjin,China,14490,39.1235635,117.1980785,2.8
11,Port Klang,Malaysia,13169,2.9426878,101.3026870775,10.8
12,Rotterdam,Netherlands,12385,51.92779805,4.4886232693,1.2
13,Kaohsiung,Taiwan,10465,22.6203348,120.3120375,2
14,Antwerp,Belgium,10037,51.2211097,4.3997081,4
15,Dalian,China,9614,38.920716,121.6388678,1.7
16,Xiamen,China,9614,24.497442,118.1355644,4.7
17,Hamburg,Germany,8910,53.550341,10.000654,1
18,Los Angeles,United States,8857,35.054935,-118.2444759,8.5
19,Tanjung Pelepas,Malaysia,8280,1.356545,103.551134,-9.2
20,Laem Chabang,Thailand,7227,13.0970555,100.9152266,6.6
21,Long Beach,United States,6775,33.78538945,-118.1580492153,-5.8
22,New York,United States,6252,40.7305991,-73.9865811,-1.9
23,Yingkou,China,6086,40.6674,122.2341,2.8
24,Ho Chi Minh City,Vietnam,5986,10.7758439,106.7017555,3.4
25,Colombo,Sri Lanka,5734,6.9349969,79.853845,10.6
26,Bremen,Germany,5535,53.0758196,8.8071646,1
27,Tanjung Priok,Indonesia,5514,-6.1371994,106.8724978708,6
28,Algecira,Spain,4761,40.7302143,-0.3919266,5.4
29,Valencia,Spain,4722,39.4699014,-0.3759512,2.3
30,Lianyungang,China,4703,34.5967,119.2216,-6.1
31,Tokyo,Japan,4700,34.2255804,139.2947745274,1.5
32,Manila,Philippines,4523,14.5906216,120.9799696,13.8
33,Jawaharlal Nehru,India,4517,11.6069001,79.5129138,0.8
34,Khor Fakkan,United Arab Emirates,4330,25.3570227,56.3458033,4.5
35,Taicang,China,4081,31.4577,121.1305,8.5
36,Felixstowe,United Kingdom,4000,51.9639098,1.3515106,0.5
37,Jeddah,Saudi Arabia,3956,21.5822247,39.1640396,-5.5
38,Piraeus,Greece,3736,37.9440078,23.6483599,12.2
39,Savannah,United States,3644,32.0835407,-81.0998341,-2.5
40,Dongguan,China,3640,23.0207,113.7518,8.2
41,Seattle,United States,3615,47.6038321,-122.3300623,2.5
42,Santos,Brazil,3393,-23.9608329,-46.3338889,-6.9
43,Tanjung Perak,Indonesia,3354,7.2219,112.7321,6.4
44,Salalah,Oman,3325,17.0507,54.1066,29.4
45,Mundra,India,3320,22.8395,69.7213,14.7
46,Colon ,Panamá,3258,9.3560848,-79.8963424,-8.9
47,Marsaxlokk,Malta,3084,35.8412,14.393,0.7
48,Nanjing,China,3083,32.0603,118.7969,4.9
49,Port Said,Egypt,3035,31.263235,32.305505,-12.3
50,Rizhao,China,3010,35.4167,119.5269,7.1
51,Tanger,Morocco,2964,35.777103,-5.8037919,0.1
52,Vancouver,Canada,2929,49.2608944,-123.1139382,-4.3
53,Balboa,Panama,2831,8.9508895,-79.5593284,-8
54,Ambarli,Turkey,2803,37.2288376,40.2773185,-9.3
55,Kobe,Japan,2801,34.6932379,135.1943764,3.5
56,Gioia Tauro,Italy,2797,38.423974,15.898995,9.8
57,Yokohama,Japan,2780,35.444991,139.636768,-0.2
58,Incheon,South Korea,2679,37.4693697,126.6613778,12.7
59,Nagoya,Japan,2658,35.15792,136.90448,1.1
60,Virginia,United States,2655,37.1232245,-78.492772,4.2
61,Fuzhou,China,2650,26.0745,119.2965,9.1
62,Melbourne,Australia,2640,-37.8142175,144.9631608,2.3
63,Durban,South Africa,2620,-29.8618249,31.009909,-5.3
64,Yantai,China,2600,37.4645,121.4479,6
65,Manzanillo,Mexico,2580,19.12765695,-104.2841255301,1.6
66,London,United Kingdom,2537,51.5073219,-0.1276473,14.4
67,Cartagena,Colombia,2510,10.4195841,-75.5271223,-3.8
68,Le Havre,France,2510,49.4938975,0.1079732,-2
69,Oakland,United States,2370,37.8044557,-122.2713562,4.1
70,Sydney,Australia,2363,-33.8548156,151.2164539,2.3
71,Chittagong,Bangladesh,2346,22.3307998,91.8412863,15.9
72,Genoa,Italy,2297,44.40726,8.9338624,2.5
73,Kwangyang,South Korea,2249,33.5021754,126.5291977,-3.3
74,Barcelona,Spain,2236,41.3825596,2.1771353,14.5
75,Houston,United States,2174,29.7589382,-95.3676973,2
76,Bandar Abbas,Iran,2130,27.18109,56.277491,26.9
77,Karachi,Pakistan,2100,25.147872,67.1821931713,7.7
78,Quanzhou,China,2091,24.8741,118.6757,4.6
79,Callao,Peru,2054,-12.0666669,-77.1499999,8.1
80,Charleston,United States,1996,32.7876012,-79.9402727,1.2
81,Dandong,China,1990,40.0008,124.3545,8.7
82,Southampton,United Kingdom,1957,50.9025349,-1.4041889,1.2
83,Osaka,Japan,1952,34.6937,135.5022,-0.9
84,Tangshan,China,1932,39.6309,118.1802,27.2
85,Guayaquil  ,Ecuador ,1821,-2.1704142,-79.9050239843,3.2
86,Dammam,Saudi Arabia,1785,26.4367824,50.1039991,-8.7
87,Alexandria,Egypt,1633,31.199004,29.894378,-3.2
88,Kingston,Jamaica,1567,17.9712148,-76.7928127,-5.2
89,Abu Dhabi,United Arab Emirates,1550,24.4539,54.3773,3
90,Taichung,Taiwan,1535,24.163162,120.6478282,6.1
91,Sines,Portugal,1513,37.92694175,-8.7499377681,13.6
92,Bangkok,Thailand,1498,13.7538929,100.8160803,-2.6
93,Chennai,India,1495,13.0801721,80.2838331,-4.5
94,Taipei,Taiwan,1477,25.033,121.5654,10.7
95,St. Petersburg,Russia,1475,59.9387318,30.3162286,-15
96,Mersin,Turkey,1453,36.81275,34.630542,-0.9
97,Montreal,Canada,1447,45.4972159,-73.6103641,0.1
98,Ashdod,Israel,1443,31.7977307,34.652994,10.4
99,Penang,Malaysia,1437,5.4065013,100.2559077,9.1
