,,,,,,,,Port,Country,2014
74,Osaka,Japan,"2,161",0.001,7,,,Taichung,Taiwan,"1,514"
75,Dublin,Ireland,"2,153",0.001,0,,,Icel (Mersin),Turkey,"1,484"
76,Zeebrugge,Belgium,"2,047",0.001,0,,,Montreal,Canada,"1,402"
77,Port,Country,"2,014",0.001,92,,,San Juan,Puerto Rico,"1,320"
78,Callao,Peru,"1,992",0.001,0,,,La Spezia,Italy,"1,301"
79,Houston,United States,"1,951",0.001,0,,,Penang,Malaysia,"1,266"
80,Barcelona,Spain,"1,894",0.001,188,,,Ashdod,Israel,"1,250"
81,Charleston,United States,"1,792",0.001,"1,951",,,Beirut,Lebanon,"1,225"
82,Southampton,United Kingdom,"1,662",0.001,0,,,Gdansk,Poland,"1,212"
83,Dammam,Saudi Arabia,"1,655",0.001,14,,,Haifa,Israel,"1,196"
84,Chittagong,Bangladesh,"1,629",0.001,238,,,Marseilles,France,"1,180"
85,Guayaquil ,Ecuador,"1,621",0.001,491,,,Brisbane,Australia,"1,108"
86,Kingston,Jamaica,"1,607",0.001,37,,,Itajai,Brazil,"1,090"
87,Karachi,Pakistan,"1,591",0.001,0,,,,,
88,Madras,India,"1,552",0.001,0,,,,,
89,Bangkok,Thailand,"1,536",0.001,0,,,,,
90,Alexandria and El-Dekheila,Egypt,"1,520",0.001,47,,,,,
91,Taichung,Taiwan,"1,514",0.001,0,,,,,
92,Icel (Mersin),Turkey,"1,484",0.001,0,,,,,
93,Montreal,Canada,"1,402",0.001,25,,,,,
94,Buenos Aires,Argentina,"1,401",0.001,0,,,,,
95,San Juan,Puerto Rico,"1,320",0.001,463,,,,,
96,La Spezia,Italy,"1,301",0.001,89,,,,,
97,Penang,Malaysia,"1,266",0.001,41,,,,,
98,Ashdod,Israel,"1,250",0.001,243,,,,,
99,Beirut,Lebanon,"1,225",0.001,371,,,,,
100,Gdansk,Poland,"1,212",0.001,19,,,,,
101,Haifa,Israel,"1,196",0.001,1,,,,,
102,Marseilles,France,"1,180",0.001,31,,,,,
103,Honolulu (FY),United States,"1,130",0.001,757,,,,,
104,Brisbane,Australia,"1,108",0.001,195,,,,,
105,Itajai,Brazil,"1,090",0.001,9,,,,,
106, Limon/Moin,Costa Rica," 	1,090 ",0.001,677,,,,,
107,San Antonio,Chile," 	1,089 ",0.001,1,,,,,
108,Port Everglades (FY),United States,"1,013",0.001,412,,,,,
109,Valparaiso,Chile," 	1,013 ",0.001,679,,,,,
110,Lazaro Cardenas,Mexico,997,0.001,274,,,,,
111,Jacksonville (a) (FY),United States,937,0.001,1,,,,,
112,Caucedo,Dominican Republic,915,0.001,"3,685",,,,,
113,Miami (FY),United States,877,0.001,93,,,,,
114,Veracruz,Mexico,847,0.001,0,,,,,
115,Baltimore,United States,770,0.001,413,,,,,
116,Montevideo,Uruguay,763,0.001,176,,,,,
117,Paranagua,Brazil,757,0.001,68,,,,,
118,Cristobal,Panama,713,0.001,247,,,,,
119,Rio Grande,Brazil,679,0.001,82,,,,,
120,Portonave/Navagantes,Brazil,677,0.001,218,,,,,
121,Buenaventura,Colombia,667,0.001,3,,,,,
122,Prince Rupert,Canada,618,0.001,522,,,,,
123,Altamira,Mexico,599,0.001,241,,,,,
124,Anchorage(pre-2013 excludes empties),United States,584,0.001,106,,,,,
125,Puerto Cortes,Honduras,577,0.001,"1,089",,,,,
126,Puerto Cabello,Venezuela,542,0.001,476,,,,,
127,Santo Tomas de Castilla,Guatemala,526,0.001,"1,013",,,,,
