50.7659630839883,Nagoya,Japan,"2,631",,,,Portland(ME),United States,23,0.001,23,,,,,,CY
51.7612823456681,Cartagena,Colombia,"2,607",,,,Coatzacoalcos,Mexico,11,0.001,23,,,,,,CY
52.7566016073478,Mina Raysut,Oman,"2,569",,,,Puerto Morelos,Mexico,11,0.001,11,,,,,,CY
53.7519208690276,Le Havre,France,"2,556",,,,Kalaeloa Barbers Point (fy),United States,9,0.001,11,,,,,,CY
54.7472401307074,Virginia,United States,"2,549",,,,Guaymas,Mexico,8,0.001,9,,,,,,CY
55.7425593923871,Manzanillo,Mexico,"2,458",,,,Fernandina,United States,8,0.001,8,,,,,,CY
56.7378786540669,Inchon,South Korea,"2,368",,,,Beaumont,United States,4,0.001,8,,,,,,CY
57.7331979157467,Southampton,United Kingdom,"2,349",,,,Kaumalapau (HI) (fy),United States,3,0.001,4,,,,,,CY
58.7285171774264,Sydney Ports,Australia,"2,330",,,,Cleveland,United States,2,0.001,3,,,,,,CY
59.7238364391062,Kwangyang,South Korea,"2,327",,,,Vancouver(WA),United States,2,0.001,2,,,,,,CY
60.719155700786,Oakland,United States,"2,278",,,,Kaunakakai (FY),United States,2,0.001,2,,,,,,CY
61.7144749624657,Genoa,Italy,"2,243",,,,Canaveral,United States,1,0.001,2,,,,,,CY
62.7097942241455,Dublin,Ireland,"2,217",,,,Saguenay,Canada,0,0.001,1,,,,,,CY
63.7051134858253,Houston,United States,"2,131",,,,Toronto,Canada,0,0.001,0,,,,,,CY
64.700432747505,Chittagong,Bangladesh,"2,025",,,,Greater Baton Rouge,United States,0,0.001,0,,,,,,CY
65.6957520091848,Charleston,United States,"1,973",,,,Lake Charles,United States,0,0.001,0,,,,,,CY
66.6910712708646,Osaka,Japan,"1,970",,,,Tampico,Mexico,0,0.001,0,,,,,,CY
67.6863905325443,Barcelona,Spain,"1,965",,,,Hamilton,Canada,0,0.001,0,,,,,,CY
68.6817097942241,Karachi,Pakistan,"1,957",,,,Dos Bocas,Mexico,0,0.001,0,,,,,,CY
69.6770290559039,Dammam,Saudi Arabia,"1,954",,,,Longview,United States,0,0.001,0,,,,,,CY
70.6723483175836,Callao,Peru,"1,900",,,,Olympia,United States,0,0.001,0,,,,,,CY
71.6676675792634,Manzanillo,Panama,"1,821",,,,Richmond(CA),United States,0,0.001,0,,,,,,CY
72.6629868409431,Guayaquil  ,Ecuador ,"1,765",,,,,,,0.001,0,,,,,,CY
73.6583061026229,St. Petersburg,Russia,"1,715",,,,Santos,Brazil,"3,780",0.001,4,,,,,,CY
74.6536253643027,Bandar Abbas,Iran,"1,705",,,,Balboa ,Panamá,"3,078",0.001,3,,,,,,CY
75.6489446259825,Colombo,Sri Lanka,"1,662",,,,Colon ,Panamá,"2,765",0.001,3,,,,,,CY
76.6442638876622,Alexandria/El-Dekheila,Egypt,"1,662",,,,"Cartagena (incl. SPRC, El Bosque, Contecar)",Colombia,"2,607",0.001,3,,,,,,CY
77.639583149342,Kingston,Jamaica,"1,575",,,,Callao ,Perú,"1,900",0.001,2,,,,,,CY
78.6349024110218,Chennai,India,"1,571",,,,Guayaquil  ,Ecuador ,"1,765",0.001,2,,,,,,CY
79.6302216727015,Zeebrugge,Belgium,"1,569",,,,Buenos Aires (incl. Exolgen),Argentina,"1,428",0.001,1,,,,,,CY
80.6255409343813,Bangkok,Thailand,"1,559",,,,Limon/Moin,Costa Rica,"1,106",0.001,1,,,,,,CY
81.620860196061,Taichung,Taiwan,"1,447",,,,,,,,,,,,,,CY
82.6161794577408,Montreal,Canada,"1,446",,,,Freeport,Bahamas,"1,400",,,,,,,,CY
83.6114987194206,Mersin,Turkey,"1,428",,,,Kingston,Jamaica,"1,653",,,,,,,,CY
84.6068179811003,Buenos Aires (incl. Exolgen),Argentina,"1,428",,,,,,,,,,,,,,CY
85.6021372427801,Freeport,Bahamas,"1,400",,,,,,,,,,,,,,CY
86.5974565044599,Sines,Portugal,"1,332",,,,,,,,,,,,,,CY
87.5927757661396,Penang,Malaysia,"1,317",,,,,,,,,,,,,,CY
88.5880950278194,Ashdod,Israel,"1,307",,,,,,,,,,,,,,CY
89.5834142894992,La Spezia,Italy,"1,300",,,,,,,,,,,,,,CY
90.5787335511789,Marseilles,France,"1,220",,,,,,,,,,,,,,CY
91.5740528128587,Haifa,Israel,"1,215",,,,,,,,,,,,,,CY
92.5693720745385,Honolulu,United States,"1,213",,,,,,,,,,,,,,CY
93.5646913362182,San Juan,Puerto Rico,"1,211",,,,,,,,,,,,,,CY
94.560010597898,Belawan,Indonesia,"1,197",,,,,,,,,,,,,,CY
95.5553298595778,London,United Kingdom,"1,185",,,,,,,,,,,,,,CY
96.5506491212575,Brisbane,Australia,"1,152",,,,,,,,,,,,,,CY
97.5459683829373,Beirut,Lebanon,"1,130",,,,,,,,,,,,,,CY
98.5412876446171,Guayaquil,Ecuador,"1,125",,,,,,,,,,,,,,CY
99.5366069062968,Limon/Moin,Costa Rica,"1,106",,,,,,,,,,,,,,
100.531926167977,Gdansk,Poland,"1,091",,,,,,,,,,,,,,
101.527245429656,Mombasa,Kenya,"1,076",,,,,,,,,,,,,,
102.522564691336,Port Everglades,United States,"1,061",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,CY
,,,,,,,,,,,,,,,,,CY
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,Port Everglades (FY),United States,"1,061",,,,,,,,,,,,,,
,Lazaro Cardenas,Mexico,"1,059",,,,,,,,,,,,,,
,Miami (FY),United States,"1,008",,,,,,,,,,,,,,
,Veracruz,Mexico,932,,,,,,,,,,,,,,
,Jacksonville (a) (FY),United States,915,,,,,,,,,,,,,,
,Baltimore,United States,840,,,,,,,,,,,,,,
,Prince Rupert,Canada,776,,,,,,,,,,,,,,
,Altamira,Mexico,647,,,,,,,,,,,,,,
,New Orleans (a),United States,525,,,,,,,,,,,,,,
,Anchorage,United States,486,,,,,,,,,,,,,,
,Philadelphia,United States,428,,,,,,,,,,,,,,
,Halifax,Canada,418,,,,,,,,,,,,,,
,Wilmington(DE),United States,337,,,,,,,,,,,,,,
,Wilmington(NC),United States,292,,,,,,,,,,,,,,
,Palm Beach (FY),United States,271,,,,,,,,,,,,,,
,Boston,United States,237,,,,,,,,,,,,,,
,Mobile (b),United States,229,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
